
000 | F0

001 | 90

002 | 90

003 | 90

004 | F0

005 | 20

006 | 60

007 | 20

008 | 20

009 | 70

00A | F0

00B | 10

00C | F0

00D | 80

00E | F0

00F | F0

010 | 10

011 | F0

012 | 10

013 | F0

014 | 90

015 | 90

016 | F0

017 | 10

018 | 10

019 | F0

01A | 80

01B | F0

01C | 10

01D | F0

01E | F0

01F | 80

020 | F0

021 | 90

022 | F0

023 | F0

024 | 10

025 | 20

026 | 40

027 | 40

028 | F0

029 | 90

02A | F0

02B | 90

02C | F0

02D | F0

02E | 90

02F | F0

030 | 10

031 | F0

032 | F0

033 | 90

034 | F0

035 | 90

036 | 90

037 | E0

038 | 90

039 | E0

03A | 90

03B | E0

03C | F0

03D | 80

03E | 80

03F | 80

040 | F0

041 | E0

042 | 90

043 | 90

044 | 90

045 | E0

046 | F0

047 | 80

048 | F0

049 | 80

04A | F0

04B | F0

04C | 80

04D | F0

04E | 80

04F | 80

050 | 00

051 | 00

052 | 00

053 | 00

054 | 00

055 | 00

056 | 00

057 | 00

058 | 00

059 | 00

05A | 00

05B | 00

05C | 00

05D | 00

05E | 00

05F | 00

060 | 00

061 | 00

062 | 00

063 | 00

064 | 00

065 | 00

066 | 00

067 | 00

068 | 00

069 | 00

06A | 00

06B | 00

06C | 00

06D | 00

06E | 00

06F | 00

070 | 00

071 | 00

072 | 00

073 | 00

074 | 00

075 | 00

076 | 00

077 | 00

078 | 00

079 | 00

07A | 00

07B | 00

07C | 00

07D | 00

07E | 00

07F | 00

080 | 00

081 | 00

082 | 00

083 | 00

084 | 00

085 | 00

086 | 00

087 | 00

088 | 00

089 | 00

08A | 00

08B | 00

08C | 00

08D | 00

08E | 00

08F | 00

090 | 00

091 | 00

092 | 00

093 | 00

094 | 00

095 | 00

096 | 00

097 | 00

098 | 00

099 | 00

09A | 00

09B | 00

09C | 00

09D | 00

09E | 00

09F | 00

0A0 | 00

0A1 | 00

0A2 | 00

0A3 | 00

0A4 | 00

0A5 | 00

0A6 | 00

0A7 | 00

0A8 | 00

0A9 | 00

0AA | 00

0AB | 00

0AC | 00

0AD | 00

0AE | 00

0AF | 00

0B0 | 00

0B1 | 00

0B2 | 00

0B3 | 00

0B4 | 00

0B5 | 00

0B6 | 00

0B7 | 00

0B8 | 00

0B9 | 00

0BA | 00

0BB | 00

0BC | 00

0BD | 00

0BE | 00

0BF | 00

0C0 | 00

0C1 | 00

0C2 | 00

0C3 | 00

0C4 | 00

0C5 | 00

0C6 | 00

0C7 | 00

0C8 | 00

0C9 | 00

0CA | 00

0CB | 00

0CC | 00

0CD | 00

0CE | 00

0CF | 00

0D0 | 00

0D1 | 00

0D2 | 00

0D3 | 00

0D4 | 00

0D5 | 00

0D6 | 00

0D7 | 00

0D8 | 00

0D9 | 00

0DA | 00

0DB | 00

0DC | 00

0DD | 00

0DE | 00

0DF | 00

0E0 | 00

0E1 | 00

0E2 | 00

0E3 | 00

0E4 | 00

0E5 | 00

0E6 | 00

0E7 | 00

0E8 | 00

0E9 | 00

0EA | 00

0EB | 00

0EC | 00

0ED | 00

0EE | 00

0EF | 00

0F0 | 00

0F1 | 00

0F2 | 00

0F3 | 00

0F4 | 00

0F5 | 00

0F6 | 00

0F7 | 00

0F8 | 00

0F9 | 00

0FA | 00

0FB | 00

0FC | 00

0FD | 00

0FE | 00

0FF | 00

100 | 00

101 | 00

102 | 00

103 | 00

104 | 00

105 | 00

106 | 00

107 | 00

108 | 00

109 | 00

10A | 00

10B | 00

10C | 00

10D | 00

10E | 00

10F | 00

110 | 00

111 | 00

112 | 00

113 | 00

114 | 00

115 | 00

116 | 00

117 | 00

118 | 00

119 | 00

11A | 00

11B | 00

11C | 00

11D | 00

11E | 00

11F | 00

120 | 00

121 | 00

122 | 00

123 | 00

124 | 00

125 | 00

126 | 00

127 | 00

128 | 00

129 | 00

12A | 00

12B | 00

12C | 00

12D | 00

12E | 00

12F | 00

130 | 00

131 | 00

132 | 00

133 | 00

134 | 00

135 | 00

136 | 00

137 | 00

138 | 00

139 | 00

13A | 00

13B | 00

13C | 00

13D | 00

13E | 00

13F | 00

140 | 00

141 | 00

142 | 00

143 | 00

144 | 00

145 | 00

146 | 00

147 | 00

148 | 00

149 | 00

14A | 00

14B | 00

14C | 00

14D | 00

14E | 00

14F | 00

150 | 00

151 | 00

152 | 00

153 | 00

154 | 00

155 | 00

156 | 00

157 | 00

158 | 00

159 | 00

15A | 00

15B | 00

15C | 00

15D | 00

15E | 00

15F | 00

160 | 00

161 | 00

162 | 00

163 | 00

164 | 00

165 | 00

166 | 00

167 | 00

168 | 00

169 | 00

16A | 00

16B | 00

16C | 00

16D | 00

16E | 00

16F | 00

170 | 00

171 | 00

172 | 00

173 | 00

174 | 00

175 | 00

176 | 00

177 | 00

178 | 00

179 | 00

17A | 00

17B | 00

17C | 00

17D | 00

17E | 00

17F | 00

180 | 00

181 | 00

182 | 00

183 | 00

184 | 00

185 | 00

186 | 00

187 | 00

188 | 00

189 | 00

18A | 00

18B | 00

18C | 00

18D | 00

18E | 00

18F | 00

190 | 00

191 | 00

192 | 00

193 | 00

194 | 00

195 | 00

196 | 00

197 | 00

198 | 00

199 | 00

19A | 00

19B | 00

19C | 00

19D | 00

19E | 00

19F | 00

1A0 | 00

1A1 | 00

1A2 | 00

1A3 | 00

1A4 | 00

1A5 | 00

1A6 | 00

1A7 | 00

1A8 | 00

1A9 | 00

1AA | 00

1AB | 00

1AC | 00

1AD | 00

1AE | 00

1AF | 00

1B0 | 00

1B1 | 00

1B2 | 00

1B3 | 00

1B4 | 00

1B5 | 00

1B6 | 00

1B7 | 00

1B8 | 00

1B9 | 00

1BA | 00

1BB | 00

1BC | 00

1BD | 00

1BE | 00

1BF | 00

1C0 | 00

1C1 | 00

1C2 | 00

1C3 | 00

1C4 | 00

1C5 | 00

1C6 | 00

1C7 | 00

1C8 | 00

1C9 | 00

1CA | 00

1CB | 00

1CC | 00

1CD | 00

1CE | 00

1CF | 00

1D0 | 00

1D1 | 00

1D2 | 00

1D3 | 00

1D4 | 00

1D5 | 00

1D6 | 00

1D7 | 00

1D8 | 00

1D9 | 00

1DA | 00

1DB | 00

1DC | 00

1DD | 00

1DE | 00

1DF | 00

1E0 | 00

1E1 | 00

1E2 | 00

1E3 | 00

1E4 | 00

1E5 | 00

1E6 | 00

1E7 | 00

